IDX,nomeCliente,composition,color,size,certification,brand,designLenght,sport,knittingType
1,Domestik ApS,,White,L (43-46),Conventional,N/A,Crew/Mid Calf,Multisports,Flat Knit
2,Franz Ziener GmbH & Co. KG,62% Wool; 34% Polyamide; 4% Elastane,Bitter Lemon,39-42,Conventional,N/A,Knee High,Ski,Selected Terry
3,INCYLENCE oHG,67% Organic Cotton; 32% Polyamide; 1% Elastane,Green 63383,39-42,Sustainable,Incylence,Crew/Mid Calf,Multisports,Half Terry
4,INCYLENCE oHG,64% Organic Cotton; 35% Polyamide; 1% Elastane,Brick C63381,35-38,Sustainable,Incylence,Crew/Mid Calf,Multisports,Half Terry
5,INCYLENCE oHG,64% Organic Cotton; 35% Polyamide; 1% Elastane,Brick C63381,39-42,Sustainable,Incylence,Crew/Mid Calf,Multisports,Half Terry
6,INCYLENCE oHG,64% Organic Cotton; 35% Polyamide; 1% Elastane,Brick C63381,43-46,Sustainable,Incylence,Crew/Mid Calf,Multisports,Half Terry
7,INCYLENCE oHG,64% Organic Cotton; 35% Polyamide; 1% Elastane,Brick C63381,47-50,Sustainable,Incylence,Crew/Mid Calf,Multisports,Half Terry
8,Domestik ApS,97% Recycled Polyamide; 2% Recycled Elastane; 1% Elastane,White,L (43-46),Conventional,Domestik,Crew/Mid Calf,Multisports,Flat Knit
9,GripGrab ApS,50% Acrylic; 25% Polyamide; 23% Recycled Polyester; 2% Elastane,Black,41-44,Conventional,GripGrab,Liner,Cycling,Flat Knit
10,GripGrab ApS,50% Acrylic; 33% Polyamide; 14% Recycled Polyester; 3% Elastane,Black,41-44,Conventional,GripGrab,Crew/Mid Calf,Cycling,Flat Knit
11,GripGrab ApS,49% Acrylic; 32% Polyamide; 16% Recycled Polyester; 3% Elastane,Black,41-44,Conventional,GripGrab,Crew/Mid Calf,Cycling,Flat Knit
12,GripGrab ApS,66% Recycled Polyester; 31% Polyamide; 3% Elastane,Black,41-44,Conventional,GripGrab,Crew/Mid Calf,Cycling,Flat Knit
13,Franz Ziener GmbH & Co. KG,35% Acrylic; 35% Wool; 26% Polyamide; 4% Elastane,338 Bitter Lemon,39-42,Conventional,N/A,Knee High,Ski,Selected Terry
14,Sidas,35% Polypropylene; 30% Polyamide; 25% Cotton; 6% Silicone; 4% Elastane,White,42-44,Sustainable,Sidas,Crew/Mid Calf,Multisports,Half Terry
15,Sidas,35% Polypropylene; 30% Polyamide; 25% Cotton; 6% Silicone; 4% Elastane,Black,42-44,Sustainable,Sidas,Crew/Mid Calf,Multisports,Half Terry
16,Sidas,35% Polypropylene; 30% Polyamide; 25% Cotton; 6% Silicone; 4% Elastane,Black,42-44,Sustainable,Sidas,Crew/Mid Calf,Multisports,Half Terry
17,GripGrab ApS,74% Polyester; 24% Polyamide; 2% Elastane,Black,41-44,Conventional,GripGrab,Crew/Mid Calf,Cycling,Half Terry
18,GripGrab ApS,36% Merino Wool; 36% Acrylic; 26% Polyamide; 2% Elastane,Black,41-44,Conventional,GripGrab,Crew/Mid Calf,Cycling,Half Terry
19,Boards&More GmbH,98% Polyamide; 2% Elastane,Black,M/39-42,Conventional,ION BIKE,Crew/Mid Calf,Cycling,Flat Knit
20,Boards&More GmbH,79% Recycled Polyamide; 19% Polyamide; 2% Elastane,Black,M/39-42,Conventional,ION BIKE,Crew/Mid Calf,Cycling,Flat Knit
21,INCYLENCE oHG,66% Recycled Polyamide; 31% Polyamide; 3% Elastane,White/Blue,35-38,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
22,INCYLENCE oHG,66% Recycled Polyamide; 31% Polyamide; 3% Elastane,White/Blue,39-42,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
23,INCYLENCE oHG,66% Recycled Polyamide; 31% Polyamide; 3% Elastane,White/Blue,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
24,MAAP Co. Pty. Ltd,69% Q-Skin Polyamide; 27% Polyamide; 4% Elastane,Black,43-45,Conventional,MAAP,Crew/Mid Calf,Cycling,Selected Terry
25,MAAP Co. Pty. Ltd,69% Q-Skin Polyamide; 27% Polyamide; 4% Elastane,White,"36,5-42",Conventional,MAAP,Crew/Mid Calf,Cycling,Selected Terry
26,Boards&More GmbH,49% Polyamide; 45% Merino Wool; 6% Elastane,Black,M/39-42,Conventional,ION BIKE,Crew/Mid Calf,Cycling,Flat Knit
27,Boards&More GmbH,63% Merino Wool; 30% Polyamide; 7% Elastane,Black,M/39-42,Conventional,ION BIKE,Crew/Mid Calf,Cycling,Flat Knit
28,Sidas,79% Polyamide; 8% Poly Glow; 7% Silicone; 6% Elastane,White,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
29,Sidas,79% Polyamide; 8% Poly Glow; 7% Silicone; 6% Elastane,Black,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
30,BERGMENSCH GmbH,,Heather Grey,38-42,Conventional,BERGMENSCH,Crew/Mid Calf,Hiking/Trekking,Half Terry
31,BERGMENSCH GmbH,,Heather Grey,38-42,Conventional,BERGMENSCH,Crew/Mid Calf,Hiking/Trekking,Half Terry
32,Canyon Bicycles GmbH,73% Cotton; 24% Polyamide; 3% Elastane,Maritime Blue,L/43-45,Conventional,N/A,Short,Cycling,Half Terry
33,Fingerscrossed GmbH,51% Polyamide; 47% Merino Wool; 2% Elastane,Pink,35-38,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
34,Fingerscrossed GmbH,51% Polyamide; 47% Merino Wool; 2% Elastane,Pink,43-46,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
35,Scan Trade Ltd.,97% Polyamide; 3% Elastane,Black,40--44,Conventional,Umbro,Over the Knee,Football,Half Terry
36,JLION CLOTHING SL,46% Polyamide; 43% Wool; 8% Silk; 3% Elastane,Black,M (36-40),Conventional,Jimmy Lion,Knee High,Ski,Half Terry
37,JLION CLOTHING SL,46% Polyamide; 43% Wool; 8% Silk; 3% Elastane,Black,L (41-46),Conventional,Jimmy Lion,Knee High,Ski,Half Terry
38,JLION CLOTHING SL,36% Wool; 27% Polyamide; 27% Viscose; 9% Cashmere; 1% Elastane,Red,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Basic,Flat Knit
